Thank you for the warm welcome to Brussels, Belgium this afternoon! https://t.co/1AvYSameD4%	%867473100434161664
Thank you for such a wonderful and unforgettable visit, Prime Minister @Netanyahu and @PresidentRuvi.%	%867043258932875264
Speech transcript at Arab Islamic American Summit ➡️https://t.co/eUWxJXJxbe  Replay ➡️https://t.co/VtmlSqciXx  #RiyadhSummit #POTUSAbroad%	%866334629036384256
Thank you to the BRAVE servicemen & women who have served, and continue to serve the United States- our true HEROES… https://t.co/ZTV9F639xM%	%865957909565366272
A great honor to welcome President Juan Manuel Santos of Colombia to the White House today!🇺🇸🇨🇴 Joint Press Conf➡️… https://t.co/uWfiQEdsaY%	%865337513245913089
All civilized nations must join together to protect human life and the sacred right of our citizens to live in safety and in peace.%	%867047119974170625
RT @netanyahu: Ever Stronger חזקים תמיד 🇮🇱🇺🇸 https://t.co/Ecf5p4HjfZ%	%866643258390302721
#WeeklyAddress🇺🇸 ➡️https://t.co/UYEhgch4Hl https://t.co/HIQoFuc5cy%	%865692565454106624
#RiyadhSummit #POTUSAbroad🇺🇸 https://t.co/WdDEOiV6oS%	%866411249092902912
Honor of a lifetime to meet His Holiness Pope Francis. I leave the Vatican more determined than ever to pursue PEAC… https://t.co/Jhe7SROaxD%	%867354520526872576
Great to be in Riyadh, Saudi Arabia. Looking forward to the afternoon and evening ahead. #POTUSAbroad https://t.co/JJOra0KfyR%	%865865814099939328
Getting ready for my big foreign trip. Will be strongly protecting American interests - that's what I like to do!%	%865573793531478017
It was my great honor to deliver the #CGACommencement17 at the @USCGAcademy. CONGRATULATIONS to the Class of 2017!… https://t.co/ehQanQXiSy%	%864942610191978496
RT @FLOTUS: I had a wonderful time with the students at the American International School #Riyadh today. #SaudiaArabia https://t.co/AVzVV0W…%	%866251096649588738
With all of the illegal acts that took place in the Clinton campaign & Obama Administration, there was never a special counsel appointed!%	%865207118785372160
This is the single greatest witch hunt of a politician in American history!%	%865173176854204416
